rental_id,bbl
7364170,3064430042
7210282,1021170001
7349080,1006047501
7193086,3020160002
7318792,3010330043
7424839,3006580026
7383184,3030700023
7302667,4019020039
7337878,1000530033
7285072,1004520043
7169851,1005770014
7207882,1012060010
7148152,1000160020
7223740,3010180082
7169284,3020187501
7321399,3009387503
7165282,3002430016
7216939,1011657503
7187206,1005257501
7359484,1015157503
7426741,1006060043
7227151,1013207503
7339330,1005620044
7272724,1008170055
7357612,3022900005
7331746,3067480088
7201087,3024200013
7285960,1010487501
7338490,1012000011
7397434,4009090060
7340716,3046780058
7321786,3003600056
7220830,1020460051
7182121,1013330042
7372798,1017890021
7286272,3016580009
7282966,4008180027
7204471,3009510013
7357381,3086740007
7339738,3059980075
7227880,3053580063
7137319,1015330001
7352749,4031560092
7218781,4068610013
7359586,3032480057
7398439,3017610009
7133230,3058680037
7282552,3008550021
7331167,3023430012
7141498,3013040071
7213354,3012760004
7197838,1006297504
7350418,1010360028
7132372,1009780001
7423414,1000260014
7354318,4010000049
7389967,1018337507
7294837,3018090029
7301299,1007350017
7226239,1004360030
7281700,1008920071
7279402,3073780078
7362166,3011990002
7266331,1005770024
7367641,3033380038
7222933,1008010034
7320625,3018080046
7156552,1014520031
7159456,1014960021
7263427,4032560028
7217566,3017810055
7349752,4008990005
7316626,1012220055
7209454,3034020006
7194223,3013320014
7291996,1009217501
7137202,1013417501
7274095,1014670042
7269916,4034480001
7243909,1011657503
7287190,1014877502
7190350,4049950001
7322815,1000917502
7163770,3059160055
7265593,3010520071
7232455,1018307502
7173679,4034560044
7325602,1009720001
7319557,1002770021
7146295,3027620037
7135783,3003900077
7310122,1009100013
7248379,3021020019
7420675,3011530032
7174414,3012720025
7269691,3026550038
7281130,3030427502
7343302,1007340037
7139215,1013267501
7191931,3019730043
7415512,4033620039
7340569,4075240015
7389361,4007300119
7155322,1013737501
7306492,3023920031
7186999,3015610036
7220605,4034360034
7257988,3021390013
7342849,1000160100
7300810,1000157502
7367326,1008630044
7173931,1013257503
7298716,3017540066
7361674,3031570023
7328104,3027670014
7393759,4008050137
7398994,1011260029
7176559,4008350154
7303405,1000767502
7171558,1002360031
7189438,1018200057
7284625,1000907501
7166533,3023840001
7316782,3052070001
7280227,1018337506
7330474,4005960057
7150561,1011710148
7285759,1010477503
7212952,1008687503
7133926,3050260075
7166578,3033960001
7288981,1015847501
7234654,1015590033
7355293,1014730010
7276948,1020730018
7161628,1014297502
7141186,4096970052
7302745,4008720068
7231696,4006250079
7176010,1009180051
7143967,3026010030
7137598,1010477503
7213846,3003880011
7336645,1008790059
7388383,1009340001
7168204,1002177504
7218676,3027060006
7265122,4099450048
7261381,3027310001
7202944,1021610110
7272007,1014680009
7230391,3016580023
7211125,4012630044
7132726,1011207501
7415842,1009430052
7196674,3004140063
7413454,4097160112
7203637,3019267504
7185133,1015350025
7393765,1006017501
7409323,1020060049
7237891,1009100008
7300609,3088120137
7184017,1018797502
7367329,1008630044
7285555,1005040026
7207252,1010440029
7377973,1008410030
7253077,1011840064
7334566,3031230019
7197889,1010420061
7235737,3065090013
7239952,3050240023
7202014,3003890007
7148167,3050520027
7293532,3051650030
7211695,1019600062
7400413,3013080016
7369468,1019540012
7144033,3050900031
7285777,4006190006
7286716,4007020062
7358119,1003980008
7255549,3023690040
7425727,1011717502
7291684,3027890039
7337302,1011220043
7342444,1019680044
7170205,3019730043
7301293,1008057502
7422013,1016340049
7171381,1021200111
7190017,4004220001
7177684,1005487501
7224994,4022360043
7338496,1006020010
7266862,3030440035
7303351,4022360027
7243483,1002830065
7333516,2057800940
7355875,1004540032
7200241,1018800029
7147669,1013140021
7364242,3026230012
7337017,1004410033
7152121,1000157502
7262374,4008690124
7198153,1011710133
7156165,3073450062
7193275,3000410017
7132417,1009720001
7202596,3046810016
7250164,3071790058
7376377,1010710001
7224403,3050000200
7319962,1000160015
7265203,3011127502
7251544,3026250024
7301971,3014190047
7305694,1008320039
7183384,1008057502
7240006,1011230105
7148941,1020100021
7299148,3024130015
7272349,1018760058
7143106,4034810057
7159561,1022250034
7372564,3058720007
7372399,1012107504
7357165,4007020043
7377853,1009250033
7425142,4001560005
7264462,1020240026
7196146,3083620049
7187698,1005947503
7207372,3027390013
7379101,1000270017
7156522,1010580004
7239022,3050880075
7427407,1018157501
7264228,1007530018
7424986,3009750065
7172131,1007420048
7170343,1009720001
7301398,4032340051
7340380,3025630009
7290298,1021800199
7350628,3066940055
7269067,2045060040
7202350,1001727504
7172452,4007210002
7361356,3019667502
7252879,1020450037
7334605,1006150052
7157719,3052110017
7184203,3026520046
7262497,3072740035
7419892,3029190024
7203088,4053100021
7366732,3003010039
7292752,1008440008
7398169,4096310241
7267006,1006140064
7269070,2045060040
7364158,1011717502
7301281,1011580012
7246987,4007210049
7196545,4012320060
7187557,1022410010
7399864,3018100049
7190743,1014077501
7188046,2041270023
7327453,1005720064
7354780,4005660033
7303747,1012537503
7210213,1012720001
7269388,3016040007
7413463,1005390014
7178197,1000260014
7374646,1014847501
7196167,1013737503
7263751,1004490038
7310353,1008980042
7349632,1019220160
7156186,3064130042
7229284,3031190022
7259800,1009720001
7416880,1007350006
7251892,3032210012
7276888,3016670036
7141873,1000157502
7397722,1007987505
7311202,1013110028
7176604,3030080008
7293160,4033420037
7371007,3055700001
7247350,1011447501
7346680,3002590008
7349110,1008930082
7230622,4034810057
7138795,1000310001
7133677,3001830043
7337887,4006050014
7142014,3024217501
7217035,4033420037
7194958,3016400038
7158073,3023280003
7264672,1010799029
7341766,1002060023
7290841,1000530033
7147813,1004380009
7159849,3067070076
7246363,4005890048
7292680,4033830041
7188838,4006610037
7222843,1000330011
7168150,4005780028
7244464,4022500001
7149709,4012140005
7211272,1000160100
7329913,3002690016
7308640,4052630010
7200205,1010407501
7181737,1011690029
7215520,1016350021
7144177,4008570012
7272568,4097160118
7331164,4033920045
7398163,4020910001
7417966,3062230053
7143163,4005060029
7223323,1015600001
7351486,3058720013
7363075,3057570054
7318270,3059040001
7267357,3017630049
7251427,1011580012
7423903,3031840056
7205068,4021390026
7321630,2057470628
7187392,3050240066
7342786,2057647501
7399921,1008280001
7269715,1009070025
7191721,1000690018
7323520,3029220047
7280605,1018337504
7213090,2027820068
7161547,1014710026
7395499,3001527501
7240615,1015140039
7147306,1008960039
7196746,3014880101
7253791,3001850048
7189264,3024320030
7224454,4051450024
7321828,1015640030
7359901,3041080067
7193242,1000210006
7181227,3025620023
7359151,1021210024
7157044,4006800056
7286122,1006260053
7341574,3019510001
7136203,3008910058
7305298,1003890044
7199845,3017610006
7173715,1018337501
7318219,4006270001
7296313,1018750026
7386115,1014690037
7363114,4000440022
7182745,3023060001
7179703,4001690029
7228231,4028740055
7301323,1013140021
7165468,1004460033
7145665,3024830019
7362271,1009390001
7189192,1016077503
7104745,3016070073
7215640,1012220055
7149337,4006240055
7197493,3060900044
7350601,1000167506
7256965,1008020036
7392808,3032830040
7135228,3013850018
7360543,1004020023
7137439,3050240023
7391953,1021260053
7283755,3060990010
7260814,1009120057
7358314,1016287502
7346977,1015490001
7169989,4030840020
7194196,3001657501
7154083,3003050051
7140334,4006250015
7320106,2057800940
7188220,3020610001
7385617,1020610134
7176682,3015910063
7427650,1000160100
7355791,3024430013
7299667,1004470011
7308985,4098490130
7276156,1014260044
7414354,3001647502
7214926,1007407501
7339387,1019780001
7135684,1011520013
7223455,3012330016
7409155,3029190020
7150891,3025930024
7190074,1008627502
7225843,1003890042
7419829,3024420011
7203241,1005137503
7335106,1014877501
7193509,3010020056
7343227,3010880020
7139347,1007330005
7343056,3006377501
7312180,3016670035
7148386,3066450083
7134076,4004157502
7133647,3001090025
7249024,1010380137
7371904,1019410055
7203283,3018420043
7368529,1004537501
7351294,4009010018
7420717,1022250038
7307644,3027220010
7181914,3068190001
7176517,3009940006
7324606,3021067502
7339762,1018337505
7275130,1012210001
7354387,3009870056
7377466,1013037501
7183342,3020610050
7231999,1000700032
7327924,4001980001
7158628,1010300058
7411900,3030700001
7417561,1010640002
7239187,1000330011
7220179,1015557501
7328455,1002850020
7342420,1011717504
7286665,3058590145
7245562,3024460068
7293325,3058480006
7215499,3034130029
7393666,3033950008
7403587,2042560014
7152025,3061180032
7141750,1000767502
7367689,1014497502
7375618,4022240016
7368640,4006250067
7307629,1018517501
7313869,1008860071
7263004,3024090026
7322398,1011717507
7269559,1009430052
7281652,3024050012
7345063,1012360044
7352947,3024410024
7134454,3001480001
7294786,3061250018
7197268,4006490042
7220281,1007340037
7328122,3063810017
7232653,3018050141
7145485,1014450035
7312915,4002360066
7172530,3025320066
7213159,3053290068
7410316,3009320075
7350961,3019597501
7293352,1013207506
7309780,1005077502
7261942,3023930007
7191913,4012910056
7149745,3061240001
7315663,3033690146
7259308,1012297502
7180585,3023060001
7389424,1021700268
7277959,3000410017
7157668,1014840026
7343503,1015347501
7171915,3004647501
7384786,1013037501
7239619,3051010063
7359991,2058610225
7138066,1000270017
7220065,3033940033
7248664,1015667501
7421527,1006200066
7358764,1018527502
7382287,3013890016
7205536,1004010054
7414525,4036170024
7215145,1018440060
7278673,4008800072
7162240,4010330031
7162345,1006330013
7375099,3045890016
7214761,3033170017
7410046,3016370031
7399474,1006180014
7271623,3026540015
7425331,1021140030
7141261,1018280030
7236550,1010710042
7311304,1017857502
7368358,1009407501
7327546,1006290041
7274599,3015080046
7269934,1014330016
7286734,1013207505
7376044,3051620065
7384069,1012200001
7365478,3031930013
