,expense_per_sqft,gross_income_per_sqft,market_value_per_sqft,neighborhood,bbl
230,12.09,28.0,120.13,LITTLE ITALY,1005070021
231,10.85,31.9,158.93,LITTLE ITALY,1005100006
232,12.67,30.17,132.11,LITTLE ITALY,1005100037
233,12.72,35.77,174.04,SOHO,1005130003
234,10.73,30.34,148.05,SOHO,1005140010
235,10.73,35.78,189.12,SOHO,1005140037
236,10.46,34.88,184.39,SOHO,1005150001
237,9.1,33.8,186.49,SOHO,1005150008
238,10.08,31.97,165.27,SOHO,1005150031
239,10.64,32.44,164.58,SOHO,1005150037
240,9.57,38.39,217.57,SOHO,1005160001
241,11.56,34.01,169.5,SOHO,1005160007
242,9.2,36.79,208.3,SOHO,1005160026
243,11.16,37.21,196.66,SOHO,1005170005
244,11.16,37.21,196.64,SOHO,1005170006
245,10.54,42.83,243.78,SOHO,1005170007
246,10.11,40.9,232.48,SOHO,1005170008
247,9.97,39.06,219.65,SOHO,1005170009
248,10.14,30.89,156.68,SOHO,1005180014
249,11.16,39.99,217.68,SOHO,1005180032
250,10.73,35.78,189.13,SOHO,1005190014
251,9.99,33.08,174.32,SOHO,1005190036
252,8.36,31.47,171.85,SOHO,1005190044
253,11.29,37.63,198.84,SOHO,1005190051
254,8.37,28.2,149.72,SOHO,1005200029
255,10.14,29.18,143.79,SOHO,1005200056
256,10.94,34.17,175.37,GREENWICH VILLAGE-CENTRAL,1005210030
257,13.23,38.8,193.08,GREENWICH VILLAGE-CENTRAL,1005210034
258,9.2,36.79,208.31,GREENWICH VILLAGE-CENTRAL,1005210071
259,10.45,34.84,184.16,GREENWICH VILLAGE-CENTRAL,1005220004
260,10.08,30.36,153.12,GREENWICH VILLAGE-CENTRAL,1005230032
261,11.56,34.01,169.5,GREENWICH VILLAGE-CENTRAL,1005230038
262,9.14,21.38,89.59,GREENWICH VILLAGE-CENTRAL,1005240001
263,8.66,29.72,159.0,GREENWICH VILLAGE-CENTRAL,1005250040
264,12.07,43.11,234.34,GREENWICH VILLAGE-CENTRAL,1005260022
265,12.07,43.11,234.33,GREENWICH VILLAGE-CENTRAL,1005260023
266,11.99,39.97,211.2,GREENWICH VILLAGE-WEST,1005270010
267,11.54,30.64,144.18,GREENWICH VILLAGE-WEST,1005270084
268,11.04,39.42,167.86,GREENWICH VILLAGE-WEST,1005270094
269,9.7,28.54,142.24,GREENWICH VILLAGE-WEST,1005280001
270,10.05,37.13,204.46,GREENWICH VILLAGE-WEST,1005280008
271,7.61,21.5,101.78,GREENWICH VILLAGE-WEST,1005280033
272,6.95,20.4,97.56,GREENWICH VILLAGE-WEST,1005280035
273,6.95,20.4,97.55,GREENWICH VILLAGE-WEST,1005280036
274,9.86,41.0,235.15,GREENWICH VILLAGE-WEST,1005280037
275,8.9,25.71,126.82,GREENWICH VILLAGE-WEST,1005280086
276,12.45,37.7,190.63,GREENWICH VILLAGE-CENTRAL,1005290001
277,9.75,38.77,219.1,GREENWICH VILLAGE-CENTRAL,1005290005
278,11.01,41.81,232.54,GREENWICH VILLAGE-CENTRAL,1005290027
279,10.43,37.83,206.86,GREENWICH VILLAGE-CENTRAL,1005290055
280,11.04,34.51,177.18,GREENWICH VILLAGE-CENTRAL,1005290057
281,12.69,36.72,181.43,GREENWICH VILLAGE-CENTRAL,1005300007
282,9.54,46.81,281.4,GREENWICH VILLAGE-CENTRAL,1005300044
283,10.77,35.91,189.81,GREENWICH VILLAGE-CENTRAL,1005310001
284,10.45,34.84,184.15,GREENWICH VILLAGE-CENTRAL,1005310027
285,11.96,34.62,171.1,GREENWICH VILLAGE-CENTRAL,1005310045
286,11.6,42.63,234.28,GREENWICH VILLAGE-CENTRAL,1005320020
287,12.14,43.35,235.64,GREENWICH VILLAGE-CENTRAL,1005370001
288,7.31,31.74,184.44,GREENWICH VILLAGE-CENTRAL,1005370026
289,10.73,40.23,222.73,GREENWICH VILLAGE-CENTRAL,1005370033
290,11.88,43.56,239.14,GREENWICH VILLAGE-CENTRAL,1005390008
291,11.17,40.23,219.41,GREENWICH VILLAGE-CENTRAL,1005390031
292,10.72,36.77,196.68,GREENWICH VILLAGE-CENTRAL,1005420011
293,11.84,35.41,177.95,GREENWICH VILLAGE-CENTRAL,1005420025
294,9.44,42.24,247.67,GREENWICH VILLAGE-CENTRAL,1005430052
295,11.4,40.73,221.46,GREENWICH VILLAGE-CENTRAL,1005450007
296,12.72,35.77,174.04,GREENWICH VILLAGE-CENTRAL,1005450008
297,5.6,33.51,210.72,GREENWICH VILLAGE-CENTRAL,1005450011
298,11.05,39.48,214.65,GREENWICH VILLAGE-CENTRAL,1005480024
299,11.56,34.01,169.5,GREENWICH VILLAGE-CENTRAL,1005480028
300,8.05,31.59,177.72,GREENWICH VILLAGE-CENTRAL,1005480045
301,11.88,42.42,230.58,GREENWICH VILLAGE-CENTRAL,1005500022
302,11.44,35.14,178.96,GREENWICH VILLAGE-CENTRAL,1005500023
303,10.65,34.22,177.95,GREENWICH VILLAGE-CENTRAL,1005510001
304,11.74,31.57,149.71,GREENWICH VILLAGE-CENTRAL,1005520062
305,10.65,33.25,170.64,GREENWICH VILLAGE-CENTRAL,1005520068
306,10.04,33.88,179.99,GREENWICH VILLAGE-CENTRAL,1005550001
307,7.31,31.74,184.45,GREENWICH VILLAGE-CENTRAL,1005550011
308,8.65,33.51,187.69,GREENWICH VILLAGE-CENTRAL,1005550028
309,11.49,37.53,196.6,GREENWICH VILLAGE-CENTRAL,1005560044
310,12.09,44.76,246.65,GREENWICH VILLAGE-CENTRAL,1005560052
311,9.28,39.15,225.52,GREENWICH VILLAGE-CENTRAL,1005610001
312,12.52,41.6,219.55,GREENWICH VILLAGE-CENTRAL,1005610009
313,11.4,40.73,221.44,GREENWICH VILLAGE-CENTRAL,1005610012
314,10.74,32.64,165.34,GREENWICH VILLAGE-CENTRAL,1005610014
315,9.15,34.48,191.24,GREENWICH VILLAGE-CENTRAL,1005610037
316,9.72,33.2,177.28,GREENWICH VILLAGE-CENTRAL,1005610045
